NO|NAMA_SUPPLIER|NAMA_PEMILIK_REKENING|NO_REKENING|JUMLAH_UANG
1|PT Kalang Kabut|Name One|199119911|2000000
2|PT Kalang Kabut|Name Two|199119912|1187500
3|PT Kalang Kabut|Name Three|199119913|1187500
4|PT Kalang Kabut|Name Four|199119914|2000000
5|PT Kalang Kabut|Name Five|199119915|2000000
6|PT Kalang Kabut|Name Six|199119916|1187500
7|PT Kalang Kabut|Name Seven|199119917|2000000
8|PT Kalang Kabut|Name Eight|199119918|1275000
9|PT Kalang Kabut|Name Nine|199119919|1187500
10|PT Kalang Kabut|Name Ten|199119910|2000000
